shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO ESPECIAL REPOSADO,SIN MARCA,0,0,80900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO ESPECIAL REPOSADO,SIN MARCA,0,0,44900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO ESPECIAL REPOSADO,SIN MARCA,0,0,96900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO REPOSADO 750 ML,SIN MARCA,0,0,83900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA RESERVA 1800 AÑEJO,SIN MARCA,0,0,190900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA GRAN CENTENARIO PLATA,SIN MARCA,0,0,88900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA OLMECA BLANCO,SIN MARCA,0,0,84400,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA 1800 REPOSADO,SIN MARCA,0,0,168900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA GRAN CENTENARIO AÑEJO,SIN MARCA,0,0,134900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JIMADOR BLANCO,SIN MARCA,0,0,98900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO ESPECIAL SILVER,SIN MARCA,0,0,80900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO 70,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO RESERVA REPOSADO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA GRAN CENTENARIO REPOSADO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO RESERVA SILVER,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA CRISTALINO MAESTRO DOBEL DIAMANTE,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA CRISTALINO 1800,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO RESERVA AÑEJO,SIN MARCA,0,0,0,0
