shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,COSTENA,0,0,9500,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,CORONA,0,17100,13680,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,BUDWEISER,0,16100,12880,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,CORONA,0,2900,2320,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,HEINEKEN,0,18000,14400,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,CLUB COLOMBIA,0,0,15700,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,STELLA ARTOIS,0,25700,20560,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,PRIMA MARCA EXCLUSIVA,0,1700,1360,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,CLUB COLOMBIA,0,15900,11925,25
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,AGUILA,0,0,13200,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,CORONA,0,4300,3440,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,HEINEKEN,10335,15900,11925,35
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,CORONA,0,25500,20400,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,BUDWEISER,0,13500,10800,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,COLA Y POLA,0,0,1800,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,cervezas,SIN DESCRIPCION,CORONA,0,18600,14880,20
